Id,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Agility,Sprint
343,D'Angelo Russell,2015,2.00,75.25,77.00,81.75,102.00,35.50,138.17,29.58,132.62,193.00,8.30,8.75,9.75,11.33,3.30
344,Delon Wright,2015,20.00,76.25,77.50,79.50,101.50,31.00,132.50,29.50,131.00,181.00,6.60,8.00,8.50,11.21,3.29
345,Justin Anderson,2015,21.00,77.25,78.25,83.75,101.00,43.00,144.00,38.00,139.00,231.00,5.00,8.50,9.50,11.10,3.22
346,Bobby Portis,2015,22.00,81.50,82.50,86.00,108.50,31.50,140.00,25.00,133.50,246.00,8.90,9.50,9.25,11.71,3.56
347,Rondae Hollis-Jefferson,2015,23.00,77.50,79.00,86.00,104.00,38.00,142.00,32.00,136.00,211.00,5.00,8.75,9.75,10.51,3.12
348,Tyus Jones,2015,24.00,72.25,74.00,77.00,97.00,32.50,129.50,26.50,123.50,185.00,6.50,8.25,8.75,11.89,3.32
349,Jarell Martin,2015,25.00,80.00,81.25,81.75,106.50,34.50,141.00,28.50,135.00,239.00,10.10,8.25,9.50,11.12,3.27
350,Larry Nance,2015,27.00,79.50,80.50,85.50,108.00,37.50,145.50,29.00,137.00,227.00,6.40,9.00,9.75,10.89,3.25
351,R.J. Hunter,2015,28.00,76.50,78.00,82.50,104.00,33.50,137.50,27.50,131.50,185.00,6.00,8.50,8.25,10.97,3.26
352,Chris McCullough,2015,29.00,80.25,81.00,87.25,109.00,35.50,138.17,29.58,132.62,199.00,6.20,8.75,8.75,11.33,3.30
353,Kevon Looney,2015,30.00,80.00,81.25,87.50,110.00,35.50,138.17,29.58,132.62,222.00,11.90,9.50,9.25,11.33,3.30
354,Montrezl Harrell,2015,32.00,79.00,79.50,88.25,109.00,35.50,138.17,29.58,132.62,253.00,11.90,9.00,9.75,11.33,3.30
355,Jordan Mickey,2015,33.00,79.00,80.25,87.25,106.00,37.50,143.50,33.00,139.00,238.00,7.20,8.75,9.50,11.80,3.28
356,Anthony Brown,2015,34.00,77.25,80.50,83.25,104.50,34.50,139.00,27.50,132.00,211.00,6.10,8.50,9.00,11.06,3.18
357,Rakeem Christmas,2015,36.00,80.25,81.75,89.25,110.50,35.50,138.17,29.00,139.50,243.00,9.60,9.25,9.50,11.57,3.47
358,Richaun Holmes,2015,37.00,80.25,81.50,85.50,108.00,36.00,144.00,32.50,140.50,243.00,8.80,8.50,8.50,11.37,3.32
359,Pat Connaughton,2015,41.00,76.00,77.25,80.75,96.00,44.00,140.00,37.50,133.50,215.00,10.20,8.50,9.25,10.74,3.20
360,Olivier Hanlan,2015,42.00,75.25,76.25,78.50,100.00,34.00,134.00,28.00,128.00,186.00,4.30,8.00,8.75,11.36,3.25
361,Joseph Young,2015,43.00,72.75,74.00,77.00,94.50,40.50,135.00,34.50,129.00,182.00,4.10,8.25,7.50,10.74,3.25
362,Andrew Harrison,2015,44.00,76.50,77.50,81.00,100.00,33.00,133.00,26.50,126.50,213.00,5.90,8.25,9.25,11.16,3.34
363,Marcus Thornton,2015,45.00,73.75,74.75,79.75,97.50,43.00,140.50,34.50,132.00,177.00,5.30,8.25,8.50,10.96,3.02
364,Norman Powell,2015,46.00,75.00,76.25,82.75,102.50,40.50,143.00,32.50,135.00,215.00,6.40,9.25,9.00,10.76,3.20
365,Dakari Johnson,2015,48.00,83.00,83.75,86.00,112.00,25.00,137.00,22.50,134.50,265.00,14.90,9.25,10.50,11.50,3.62
366,Aaron White,2015,49.00,79.75,80.75,83.50,106.50,35.00,141.50,30.00,136.50,220.00,8.00,8.25,9.25,11.62,3.38
367,Tyler Harvey,2015,51.00,74.75,76.00,77.50,98.50,28.50,127.00,26.00,124.50,181.00,9.20,7.75,8.75,10.52,3.44
368,Branden Dawson,2015,56.00,77.50,78.75,83.00,105.00,34.50,139.50,28.50,133.50,230.00,5.80,9.00,8.75,12.37,3.20
369,J.P. Tokoto,2015,58.00,77.25,78.25,82.00,100.50,40.00,140.50,34.50,135.00,196.00,4.10,8.00,8.75,11.01,3.27
370,Willie Cauley-Stein,2015,6.00,83.25,84.50,87.00,111.00,35.50,138.17,29.58,132.62,242.00,6.30,9.50,9.00,11.33,3.30
371,Stanley Johnson,2015,8.00,77.00,78.50,83.50,102.00,35.50,138.17,29.58,132.62,242.00,7.50,9.00,9.00,11.33,3.30
372,Frank Kaminsky,2015,9.00,83.75,84.75,83.00,109.50,35.50,138.17,29.58,132.62,231.00,9.40,8.50,9.50,11.33,3.30
373,Aaron Harrison,2015,28.49,76.50,78.00,80.25,100.50,34.50,135.00,28.50,129.00,209.00,6.00,8.30,10.00,11.33,3.27
374,Alan Williams,2015,28.49,79.25,80.25,85.75,106.50,28.50,135.00,25.50,132.00,261.00,12.00,8.50,9.50,12.07,3.50
375,Brandon Ashley,2015,28.49,79.25,80.50,87.25,105.00,35.50,140.50,31.50,136.50,228.00,8.80,9.00,9.50,11.30,3.58
376,Chasson Randle,2015,28.49,72.75,73.50,79.00,96.50,39.50,136.00,33.50,130.00,179.00,4.50,8.50,9.50,10.61,3.20
377,Chris Walker,2015,28.49,80.75,81.25,86.75,108.00,37.00,145.00,30.50,138.50,208.00,5.10,9.00,9.00,11.32,3.35
378,Christian Wood,2015,28.49,81.25,82.50,87.25,111.50,35.50,138.17,29.58,132.62,216.00,14.70,9.25,10.75,11.33,3.30
379,Cliff Alexander,2015,28.49,79.25,80.50,87.50,109.50,35.50,138.17,29.58,132.62,239.00,5.80,9.50,10.25,11.33,3.30
380,Corey Hawkins,2015,28.49,72.75,73.75,80.00,99.50,34.00,133.50,28.50,128.00,192.00,5.50,8.30,9.00,10.97,3.51
381,Dez Wells,2015,28.49,75.00,76.00,81.50,100.50,39.00,139.50,31.50,132.00,209.00,8.10,8.75,9.75,10.75,3.20
382,George De Paula,2015,28.49,76.50,77.50,84.00,104.00,34.00,138.00,28.00,132.00,197.00,6.70,9.50,10.00,11.38,3.45
383,Jonathan Holmes,2015,28.49,80.25,81.25,83.50,107.50,31.00,138.50,25.50,133.00,242.00,7.20,8.25,9.50,10.97,3.51
384,Keifer Sykes,2015,28.49,70.50,71.75,74.00,93.00,43.00,136.00,34.00,127.00,167.00,5.00,8.50,9.50,10.50,3.13
385,Michael Frazier,2015,28.49,75.75,76.25,80.00,101.50,35.00,136.50,24.00,125.50,199.00,7.40,8.25,9.25,10.80,3.32
386,Michael Qualls,2015,28.49,76.00,77.00,84.25,104.50,39.50,144.00,34.00,138.50,201.00,4.00,9.00,10.25,11.88,3.30
387,Mouhammadou Jaiteh,2015,28.49,81.50,82.50,87.25,110.50,31.50,142.00,24.50,135.00,247.00,9.90,9.00,9.25,12.05,3.38
388,Quinn Cook,2015,28.49,72.25,74.00,76.00,96.50,31.00,127.50,24.50,121.00,179.00,6.70,7.50,8.25,11.28,3.38
389,Robert Upshaw,2015,28.49,82.75,84.00,89.50,113.00,35.50,138.17,29.58,132.62,258.00,12.50,10.00,11.00,11.33,3.30
390,Ryan Boatright,2015,28.49,70.00,71.00,72.50,92.50,41.00,133.50,32.00,124.50,170.00,6.60,7.50,8.75,10.79,3.26
391,T.J. McConnell,2015,28.49,72.50,74.00,74.00,96.50,31.50,128.00,26.00,122.50,188.00,7.30,7.50,7.00,10.84,3.30
392,TaShawn Thomas,2015,28.49,79.25,80.00,86.00,108.00,30.50,138.50,26.00,134.00,240.00,12.40,9.00,9.25,11.69,3.47
393,Terran Petteway,2015,28.49,76.75,78.00,83.25,104.50,31.00,135.50,25.00,129.50,209.00,4.90,8.25,8.25,10.96,3.32
394,Treveon Graham,2015,28.49,76.75,77.75,82.50,103.00,31.50,134.50,28.50,131.50,219.00,5.50,8.50,8.25,11.60,3.30
395,Vince Hunter,2015,28.49,78.75,79.50,83.00,104.50,37.50,142.00,33.50,138.00,208.00,4.60,9.00,8.75,11.33,3.26
396,Thon Maker,2016,10.00,83.75,84.75,87.00,110.50,36.50,147.00,32.00,142.50,216.00,6.10,8.75,9.50,11.15,3.33
397,Taurean Prince,2016,12.00,78.50,79.75,83.50,102.00,36.00,138.00,34.00,136.00,220.00,6.50,9.00,8.50,10.96,3.24
398,Denzel Valentine,2016,14.00,76.00,77.75,82.75,102.00,32.00,134.00,27.00,129.00,210.00,9.20,8.50,9.75,10.51,3.46
399,Justin Jackson,2016,15.00,79.00,80.25,82.75,103.50,34.50,138.00,29.50,133.00,193.00,7.60,8.75,8.75,11.32,3.26
400,Wade Baldwin,2016,17.00,74.50,76.00,83.25,100.00,38.00,138.00,32.50,132.50,202.00,5.20,9.00,9.75,10.45,3.19
401,Henry Ellenson,2016,18.00,82.00,83.50,86.25,108.00,35.50,138.17,29.58,132.62,242.00,11.20,8.50,9.75,11.33,3.30
402,Malik Beasley,2016,19.00,75.50,76.50,79.00,100.50,35.50,138.17,29.58,132.62,190.00,6.90,8.50,9.00,11.33,3.30
403,Caris LeVert,2016,20.00,77.75,79.00,82.00,101.00,35.50,138.17,29.58,132.62,191.00,7.60,8.50,9.25,11.33,3.30
404,DeAndre Bembry,2016,21.00,76.25,77.75,81.25,101.00,38.00,139.00,32.00,133.00,207.00,7.00,8.00,9.25,10.90,3.17
405,Malachi Richardson,2016,22.00,76.75,78.25,84.00,101.50,38.00,139.50,33.00,134.50,200.00,7.00,8.75,10.00,10.56,3.33
406,Brice Johnson,2016,25.00,81.00,82.50,84.50,106.50,38.00,144.50,33.50,140.00,209.00,7.50,9.00,8.25,11.88,3.20
407,Caleb Swanigan,2016,26.00,79.50,80.50,87.50,107.00,29.00,136.00,26.00,133.00,247.00,12.60,9.00,10.25,12.80,3.30
408,Pascal Siakam,2016,27.00,80.25,81.50,87.25,107.50,36.50,144.00,30.50,138.00,227.00,5.20,9.25,10.00,11.25,3.41
409,Skal Labissiere,2016,28.00,82.50,83.75,86.50,105.50,35.50,138.17,29.58,132.62,216.00,5.70,8.75,9.00,11.33,3.30
410,Jaylen Brown,2016,3.00,77.25,78.75,83.75,102.50,35.50,138.17,29.58,132.62,223.00,5.10,8.75,9.00,11.33,3.30
411,Damian Jones,2016,30.00,82.25,83.50,87.75,107.00,37.00,144.00,36.00,143.00,244.00,6.60,8.75,10.50,11.35,3.20
412,Josh Hart,2016,30.00,76.00,77.50,80.50,99.50,38.50,138.00,29.50,129.00,204.00,5.80,8.50,9.25,11.15,3.20
413,Deyonta Davis,2016,31.00,81.25,82.50,86.50,108.50,35.50,138.17,29.58,132.62,237.00,9.70,9.00,9.25,11.33,3.30
414,Cheick Diallo,2016,33.00,79.50,81.00,88.50,107.50,35.00,142.50,31.00,138.50,219.00,5.60,8.50,9.75,11.24,3.26
415,Tyler Ulis,2016,34.00,68.75,70.00,74.00,88.50,38.00,126.50,32.50,121.00,149.00,5.20,7.50,7.50,10.80,3.20
416,Malcolm Brogdon,2016,36.00,75.75,77.50,82.50,98.00,35.50,133.50,30.50,128.50,223.00,5.40,9.00,10.25,10.77,3.31
417,Chinanu Onuaku,2016,37.00,81.00,82.00,86.75,108.50,33.50,142.00,27.50,136.00,245.00,8.60,9.00,8.00,11.65,3.50
418,Patrick McCaw,2016,38.00,77.25,78.75,82.00,100.50,38.00,138.50,30.00,130.50,181.00,4.70,8.75,8.75,11.01,3.30
419,Diamond Stone,2016,40.00,81.00,82.25,86.75,108.50,29.50,138.00,27.00,135.50,254.00,12.90,8.50,7.75,12.02,3.50
420,Stephen Zimmerman,2016,41.00,82.25,83.75,87.25,108.50,31.00,139.50,26.00,134.50,234.00,11.20,9.00,9.00,12.08,3.43
421,Isaiah Whitehead,2016,42.00,75.25,76.50,80.75,100.00,35.50,135.50,27.50,127.50,210.00,9.30,8.50,8.75,11.65,3.34
422,Zhou Qi,2016,43.00,85.25,86.25,91.75,112.50,32.00,144.50,31.50,144.00,218.00,4.90,9.25,9.50,11.27,3.46
423,Demetrius Jackson,2016,45.00,72.00,73.25,77.50,93.00,43.50,136.50,37.50,130.50,194.00,6.50,8.25,9.00,10.81,3.25
424,Jake Layman,2016,47.00,80.00,81.25,81.25,102.00,39.50,141.50,33.00,135.00,209.00,7.10,8.25,9.25,11.35,3.24
425,Michael Gbinije,2016,49.00,77.50,78.75,79.50,101.00,37.50,138.50,33.50,134.50,205.00,5.40,8.00,9.00,11.00,3.12
427,Georges Niang,2016,50.00,78.75,80.50,82.00,103.00,31.00,134.00,25.00,128.00,231.00,10.10,9.25,9.25,11.64,3.49
428,Ben Bentil,2016,51.00,79.25,80.25,85.50,105.00,33.00,138.00,29.00,134.00,229.00,9.70,9.50,10.00,11.16,3.30
429,Joel Bolomboy,2016,52.00,79.50,81.00,85.75,103.50,40.50,144.00,37.50,141.00,224.00,5.20,9.00,10.25,10.26,3.17
430,Kay Felder,2016,54.00,68.25,69.50,74.50,88.50,44.00,132.50,35.50,124.00,177.00,5.80,8.25,8.50,11.52,3.15
431,Marcus Paige,2016,55.00,72.50,73.75,78.25,97.00,39.50,136.50,33.50,130.50,164.00,4.30,7.75,8.75,10.82,3.15
432,Daniel Hamilton,2016,56.00,78.25,80.00,81.00,103.50,29.00,132.50,26.00,129.50,197.00,6.00,9.00,8.50,11.48,3.40
433,Isaiah Cousins,2016,59.00,75.25,76.50,78.25,98.50,37.00,135.50,30.50,129.00,194.00,4.80,8.25,8.75,10.79,3.24
434,Jaron Blossomgame,2016,59.00,78.25,79.25,82.00,102.00,41.00,143.00,35.00,137.00,214.00,5.30,8.50,10.00,11.53,3.20
435,Buddy Hield,2016,6.00,75.75,77.00,81.25,101.00,35.50,138.17,29.58,132.62,212.00,6.10,8.50,9.00,11.33,3.30
436,Marquese Chriss,2016,8.00,80.75,82.00,84.25,105.00,38.50,143.50,32.50,137.50,233.00,8.50,9.00,9.00,11.93,3.26
437,Jakob Poeltl,2016,9.00,84.25,85.00,86.75,111.50,35.50,138.17,29.58,132.62,239.00,5.80,9.25,10.25,11.33,3.30
438,A.J. English,2016,28.49,74.00,75.00,82.00,98.50,35.50,134.00,29.50,128.00,182.00,5.30,8.75,8.50,12.27,3.28
439,Cat Barber,2016,28.49,73.50,74.75,77.50,95.50,35.50,138.17,29.58,132.62,173.00,4.50,8.00,8.50,11.33,3.30
440,Dedric Lawson,2016,28.49,79.00,80.00,86.50,106.50,28.00,134.50,22.50,129.00,225.00,11.10,9.50,9.50,12.48,3.65
441,Dorian Finney-Smith,2016,28.49,78.50,79.75,83.75,105.50,35.50,141.00,32.50,138.00,213.00,6.50,9.00,9.75,11.01,3.27
442,Elgin Cook,2016,28.49,77.00,78.25,82.00,100.50,35.50,138.17,29.58,132.62,210.00,6.40,8.50,10.25,11.33,3.30
443,Gary Payton II,2016,28.49,74.00,75.00,80.00,99.50,38.50,138.00,31.50,131.00,184.00,4.00,8.75,9.50,11.57,3.23
444,Isaiah Miles,2016,28.49,78.75,79.75,82.50,105.00,31.50,136.50,24.00,129.00,220.00,9.60,9.00,9.50,11.76,3.39
445,Jarrod Uthoff,2016,28.49,80.50,81.75,83.50,104.00,34.50,138.50,29.00,133.00,214.00,6.00,8.75,9.00,11.52,3.50
446,Kyle Wiltjer,2016,28.49,80.75,82.00,84.25,102.50,35.50,138.00,28.50,131.00,243.00,15.30,8.25,9.50,11.35,3.48
447,Malik Newman,2016,28.49,74.25,75.50,77.75,97.50,35.50,133.00,30.00,127.50,182.00,5.60,8.25,9.25,10.88,3.28
448,Marcus Lee,2016,28.49,81.00,82.25,87.00,107.50,35.50,143.00,28.50,136.00,211.00,5.40,9.00,9.00,11.68,3.25
449,Melo Trimble,2016,28.49,73.25,74.50,74.00,92.50,35.50,128.00,26.50,119.00,192.00,8.40,8.00,8.75,10.57,3.20
450,Nigel Hayes,2016,28.49,78.25,79.25,87.00,107.50,28.50,136.00,25.50,133.00,245.00,10.90,8.50,9.50,12.11,3.20
451,Perry Ellis,2016,28.49,79.00,80.25,82.25,102.00,38.00,140.00,32.00,134.00,218.00,4.60,8.00,8.50,10.73,3.13
452,Robert Carter,2016,28.49,78.75,80.50,87.25,106.50,30.50,137.00,24.50,131.00,251.00,12.50,8.75,9.50,11.97,3.65
453,Ron Baker,2016,28.49,75.25,76.25,81.75,97.50,35.50,133.00,30.00,127.50,212.00,7.90,8.75,9.50,10.77,3.45
454,Sheldon McClellan,2016,28.49,77.00,78.25,79.00,99.50,41.50,141.00,35.00,134.50,198.00,4.80,8.00,8.00,10.45,3.26
455,Troy Williams,2016,28.49,77.75,78.75,80.25,102.00,36.00,138.00,30.00,132.00,218.00,10.00,8.25,9.25,10.72,3.35
456,Wayne Selden,2016,28.49,76.25,77.75,82.50,101.00,35.50,138.17,29.58,132.62,232.00,7.30,9.00,9.25,11.33,3.30
457,Zach Collins,2017,10.00,82.25,84.00,85.00,111.00,35.50,138.17,29.58,132.62,232.00,8.90,8.75,9.25,11.33,3.30
458,Luke Kennard,2017,12.00,76.50,77.50,77.25,98.50,35.50,138.17,29.58,132.62,196.00,6.60,8.00,8.75,11.33,3.30
459,Donovan Mitchell,2017,13.00,73.25,75.00,82.00,97.00,40.50,137.50,36.50,133.50,211.00,5.90,8.50,9.50,11.53,3.01
460,Bam Adebayo,2017,14.00,80.75,81.75,86.75,108.00,38.50,146.50,33.50,141.50,243.00,5.20,9.50,8.75,11.94,3.24
461,Justin Patton,2017,16.00,82.00,83.25,87.00,111.50,30.50,142.00,26.00,137.50,229.00,7.80,8.75,9.75,11.80,3.46
462,D.J. Wilson,2017,17.00,80.75,82.50,87.00,109.50,35.50,138.17,29.58,132.62,234.00,6.40,9.25,10.25,11.33,3.30
463,T.J. Leaf,2017,18.00,80.75,81.75,83.00,107.00,34.50,141.50,29.00,136.00,222.00,6.80,8.50,9.50,11.55,3.27
464,John Collins,2017,19.00,80.25,81.50,83.25,106.50,37.50,144.00,33.00,139.50,225.00,5.40,9.00,10.00,11.66,3.27
465,Harry Giles,2017,20.00,81.25,82.50,87.25,109.50,32.50,142.00,27.00,136.50,232.00,5.20,9.50,10.75,11.08,3.34
466,Terrance Ferguson,2017,21.00,77.50,79.00,80.75,103.00,38.00,141.00,28.50,131.50,184.00,5.80,8.50,10.00,11.16,3.32
467,Jarrett Allen,2017,22.00,81.00,82.25,89.25,109.50,35.50,145.00,31.50,141.00,234.00,7.40,9.50,10.50,11.82,3.21
468,OG Anunoby,2017,23.00,78.25,79.75,86.25,107.50,35.50,138.17,29.58,132.62,232.00,6.80,9.25,9.50,11.33,3.30
469,Tyler Lydon,2017,24.00,80.25,81.50,84.00,107.50,33.50,141.00,29.50,137.00,215.00,13.60,8.75,8.75,11.68,3.46
470,Kyle Kuzma,2017,27.00,80.00,81.50,84.25,107.50,34.00,141.50,27.00,134.50,223.00,9.40,8.50,9.50,10.72,3.25
471,Tony Bradley,2017,28.00,81.25,82.75,89.00,112.50,27.50,140.00,24.50,137.00,249.00,12.00,9.50,9.50,11.79,3.44
472,Derrick White,2017,29.00,75.25,76.50,79.50,101.50,36.50,138.00,35.50,137.00,190.00,6.20,8.25,8.50,10.84,3.08
473,Frank Jackson,2017,31.00,74.00,75.50,79.50,98.00,42.00,140.00,35.50,133.50,202.00,6.70,8.25,9.00,10.94,3.14
474,Davon Reed,2017,32.00,76.50,77.50,84.00,102.00,36.00,138.00,28.50,130.50,206.00,6.50,9.25,9.50,11.37,3.34
475,Wesley Iwundu,2017,33.00,77.50,78.75,85.00,105.50,36.00,141.50,31.50,137.00,193.00,4.00,8.75,9.50,11.25,3.36
476,Frank Mason,2017,34.00,71.00,72.00,75.25,94.00,41.00,135.00,34.00,128.00,189.00,4.30,8.00,9.25,11.41,3.18
477,Ivan Rabb,2017,35.00,80.75,82.00,85.50,109.00,32.50,141.50,28.50,137.50,220.00,6.80,8.75,9.00,12.68,3.35
478,Semi Ojeleye,2017,37.00,77.25,78.75,81.75,102.00,40.50,142.50,35.00,137.00,241.00,5.50,8.75,9.50,10.58,3.16
479,Jordan Bell,2017,38.00,79.00,80.50,83.75,104.50,38.00,142.50,31.50,136.00,224.00,5.40,9.25,9.50,10.63,3.21
480,Jawun Evans,2017,39.00,70.75,71.50,77.50,95.00,33.50,128.50,27.50,122.50,185.00,9.10,8.00,7.75,11.34,3.21
481,Dwayne Bacon,2017,40.00,76.75,78.25,82.00,103.50,36.50,140.00,30.00,133.50,222.00,7.90,8.75,10.00,11.70,3.22
482,Tyler Dorsey,2017,41.00,75.00,76.50,77.25,99.50,36.00,135.50,30.50,130.00,183.00,4.70,8.50,9.25,10.55,3.16
483,Thomas Bryant,2017,42.00,81.50,82.75,90.00,112.50,33.00,145.50,25.50,138.00,248.00,9.40,9.50,10.25,11.42,3.37
484,Damyean Dotson,2017,44.00,76.50,77.50,81.00,100.00,38.00,138.00,31.50,131.50,205.00,5.30,8.50,9.25,11.18,3.13
485,Dillon Brooks,2017,45.00,77.00,78.00,78.00,100.50,37.50,138.00,31.00,131.50,220.00,7.50,8.25,9.25,11.14,3.21
486,Ike Anigbogu,2017,47.00,80.50,81.75,90.25,110.50,32.50,143.00,29.50,140.00,252.00,5.40,9.50,10.00,12.52,3.44
487,Sindarius Thornwell,2017,48.00,75.50,76.75,82.00,103.00,30.50,133.50,27.00,130.00,212.00,7.80,8.75,8.75,11.48,3.36
488,De'Aaron Fox,2017,5.00,74.00,75.25,78.50,100.00,35.50,138.17,29.58,132.62,170.00,4.50,8.50,8.50,11.33,3.30
489,Monte Morris,2017,51.00,73.25,74.50,76.00,96.50,33.50,130.00,28.00,124.50,175.00,6.90,8.25,8.75,11.00,3.19
490,Edmond Sumner,2017,52.00,76.00,77.75,81.00,102.50,35.50,138.17,29.58,132.62,176.00,8.30,8.25,9.00,11.33,3.30
491,Kadeem Allen,2017,53.00,73.00,74.25,81.25,99.50,35.50,135.00,33.00,132.50,192.00,6.40,8.50,8.75,11.24,3.15
492,Alec Peters,2017,54.00,79.25,80.75,82.75,105.00,35.50,138.17,29.58,132.62,232.00,8.80,8.75,10.00,11.33,3.30
493,Nigel Williams-Goss,2017,55.00,73.50,75.00,79.25,99.00,34.50,133.50,27.50,126.50,190.00,5.60,8.75,9.25,10.42,3.19
494,Andrew Jones,2017,28.49,75.00,76.25,78.50,99.50,35.00,134.50,27.00,126.50,185.00,4.90,8.50,9.00,11.38,3.35
495,Cameron Oliver,2017,28.49,79.00,80.25,85.25,106.50,39.50,146.00,28.00,134.50,239.00,7.70,9.50,10.25,12.17,3.16
496,Chris Boucher,2017,28.49,80.00,81.50,88.00,110.50,35.50,138.17,29.58,132.62,182.00,5.40,9.25,10.50,11.33,3.30
497,Derrick Walton,2017,28.49,71.00,72.75,74.50,95.00,32.50,127.50,26.00,121.00,189.00,5.80,8.00,8.50,11.28,3.29
498,Devin Robinson,2017,28.49,79.00,80.25,84.75,106.00,41.50,147.50,35.50,141.50,190.00,3.20,9.25,10.25,12.85,3.23
499,Eric Mika,2017,28.49,80.50,81.75,82.00,106.50,32.00,138.50,29.00,135.50,233.00,6.50,8.25,8.75,11.71,3.38
500,Hamidou Diallo,2017,28.49,75.75,77.00,83.25,101.50,44.50,146.00,34.50,136.00,197.00,5.20,8.50,9.50,10.88,3.11
501,Isaiah Briscoe,2017,28.49,73.25,74.75,81.00,99.50,33.50,133.00,28.00,127.50,222.00,11.00,9.00,9.25,10.95,3.38
502,Isaiah Hicks,2017,28.49,79.25,80.50,84.50,105.00,37.00,142.00,31.50,136.50,233.00,7.70,8.75,9.75,12.31,3.36
503,Jamel Artis,2017,28.49,77.50,78.75,82.00,105.00,31.00,136.00,23.50,128.50,213.00,11.90,9.25,9.75,11.62,3.44
505,Jonathan Jeanne,2017,28.49,84.75,86.00,90.50,113.50,31.50,145.00,29.00,142.50,207.00,8.70,9.50,10.00,12.61,3.36
506,Justin Jackson (Canada),2017,28.49,77.75,79.00,87.25,107.00,31.50,138.50,26.50,133.50,219.00,8.10,9.00,9.50,11.78,3.43
507,Kennedy Meeks,2017,28.49,80.75,82.25,85.00,106.00,30.50,136.50,28.00,134.00,277.00,11.50,8.75,8.75,12.91,3.50
508,Kobi Simmons,2017,28.49,75.25,76.50,78.00,99.00,38.50,137.50,30.50,129.50,166.00,5.00,8.50,9.50,11.15,3.18
509,Moritz Wagner,2017,28.49,82.00,83.25,84.00,108.00,32.50,140.50,25.50,133.50,231.00,6.70,8.75,10.75,12.00,3.35
510,Omer Yurtseven,2017,28.49,82.50,83.75,85.00,108.50,31.50,140.00,26.00,134.50,248.00,7.60,9.00,10.50,12.85,3.45
511,P.J. Dozier,2017,28.49,77.25,78.75,83.00,101.00,39.00,140.00,34.00,135.00,201.00,6.10,8.50,9.50,10.84,3.15
512,Peter Jok,2017,28.49,76.25,77.75,80.00,102.00,31.00,133.00,26.50,128.50,202.00,11.00,8.25,9.50,11.34,3.41
513,Rawle Alkins,2017,28.49,74.50,75.75,80.75,99.00,40.50,139.50,31.50,130.50,223.00,11.00,8.75,10.00,11.99,3.30
514,Sviatoslav Mykhailiuk,2017,28.49,78.50,79.50,77.00,100.00,33.00,133.00,27.00,127.00,220.00,11.40,8.00,9.25,12.40,3.53
515,Thomas Welsh,2017,28.49,83.50,84.50,84.00,109.50,35.50,138.17,29.58,132.62,254.00,10.90,9.00,10.50,11.33,3.30
516,V.J. Beachem,2017,28.49,78.25,80.00,82.25,104.50,37.00,141.50,30.00,134.50,193.00,6.80,8.50,9.00,11.18,3.26
